index,feature,coefficient,odds_ratio,importance,family
0,BENE_ESRD_IND,0.1979332033740985,1.2188809739659507,0.1979332033740985,Disease
1,age,0.0020599030816288,1.002062026139496,0.0020599030816288,Demographics
2,prior_ESRD,0.0189664097049575,1.019147414580098,0.0189664097049575,Disease
3,2008_max_carrier_chronic_code_counts,0.0442292753919105,1.0452219710954007,0.0442292753919105,Chronic Count
4,2008_max_ip_chronic_code_counts,0.0165319963812018,1.016669406007515,0.0165319963812018,Chronic Count
5,2008_max_op_chronic_code_counts,0.0852677878943898,1.0890086509889052,0.0852677878943898,Chronic Count
6,2008_has_Additional endocrine/metabolic burden,0.1077554944526123,1.1137753878304897,0.1077554944526123,Disease
7,2008_has_COPD,0.0785808216064544,1.081750780465163,0.0785808216064544,Disease
8,2008_has_Administrative_screening_aftercare,0.0500891933652368,1.0513648669646811,0.0500891933652368,Disease
9,2008_has_Cancer,0.0343038610505313,1.034899024460814,0.0343038610505313,Disease
10,2008_has_Injury/Frailty Burden,0.1598829745993183,1.1733735484471977,0.1598829745993183,Disease
11,2008_has_Additional cardiovascular burden,0.3896010138327451,1.4763916165212068,0.3896010138327451,Disease
12,2008_has_Additional mental health burden,0.0258074344191499,1.02614332956046,0.0258074344191499,Disease
13,2008_has_Additional Musculoskeletal Burden,0.0827081957795435,1.0862247973176582,0.0827081957795435,Disease
14,2008_has_Infectious disease burden,0.0110130610543569,1.011073928050013,0.0110130610543569,Disease
15,2008_has_Stroke/TIA,-0.004889863563263,0.995122072356639,0.004889863563263,Disease
16,2008_has_Additional neurologic burden,0.0584829670035299,1.0602269266992983,0.0584829670035299,Disease
17,2008_has_Diabetes,0.0304220769089806,1.0308895568181478,0.0304220769089806,Disease
18,2008_has_Additional renal burden,0.0319191135083554,1.0324339919641488,0.0319191135083554,Disease
19,2008_has_Genitourinary (non-renal) burden,-0.033312355654711,0.9672363906433395,0.033312355654711,Disease
20,2008_has_Sensory Burden,-0.017504631122599,0.9826476848926352,0.017504631122599,Disease
21,2008_has_Additional Hematologic burden,0.0518672585553252,1.0532359251755012,0.0518672585553252,Disease
22,2008_has_Rheumatoid Arthritis/Osteoarthritis,0.0136500029605086,1.0137435895853453,0.0136500029605086,Disease
23,2008_has_Depression,0.0272374663477648,1.0276117970124878,0.0272374663477648,Disease
24,2008_has_Heart Failure,0.058367695155733,1.0601047194260382,0.058367695155733,Disease
25,2008_has_CKD,0.0092252091423597,1.00926789253767,0.0092252091423597,Disease
26,2008_has_Additional GI/Hepatic burden,0.044757791195861,1.0457745334318624,0.044757791195861,Disease
27,2008_num_carrier_claims,0.6005452746936951,1.8231126265907824,0.6005452746936951,Utilization
28,2008_avg_carrier_claim_duration,0.0071150715846252,1.0071404438459082,0.0071150715846252,Utilization
29,2008_num_ip_claims,0.0792831612140547,1.082510803749822,0.0792831612140547,Utilization
30,2008_avg_ip_claim_duration,0.0312584977797805,1.031752175064622,0.0312584977797805,Utilization
31,2008_num_op_claims,0.2135866237918673,1.2381107434703769,0.2135866237918673,Utilization
32,2008_avg_op_claim_duration,0.0604729699944521,1.0623388821563595,0.0604729699944521,Utilization
33,2008_num_pde_claims,0.360147302122984,1.4335405625769342,0.360147302122984,Utilization
34,2008_total_days_medsupplied,-0.1948700007783427,0.8229416328742892,0.1948700007783427,Utilization
35,2008_avg_days_supplied_per_pdeclaim,-0.0332730711455745,0.9672743887965296,0.0332730711455745,Utilization
36,2008_avg_carrier_rejected_amt,0.0175688467209915,1.0177240867051205,0.0175688467209915,Cost
37,2008_avg_carrier_reimb_allowed_diff,-0.0087483953509426,0.9912897605110732,0.0087483953509426,Cost
38,2008_avg_carrier_insurance_cost,0.1082621795628883,1.1143398642295117,0.1082621795628883,Cost
39,2008_total_carrier_insurance_cost,0.2265650767743388,1.254284231949942,0.2265650767743388,Cost
40,2008_avg_carrier_beneficiary_cost,0.0489481382047783,1.0501658858395964,0.0489481382047783,Cost
41,2008_total_carrier_beneficiary_cost,0.0020429531664122,1.0020450414170563,0.0020429531664122,Cost
42,2008_avg_inpatient_beneficiary_cost,0.0517933989783333,1.0531581364883502,0.0517933989783333,Cost
43,2008_total_inpatient_beneficiary_cost,-0.0484959442083457,0.9526612030933564,0.0484959442083457,Cost
44,2008_avg_inpatient_insurance_cost,0.0664440760673242,1.0687011964302084,0.0664440760673242,Cost
45,2008_total_inpatient_insurance_cost_adj,-0.0944130325618421,0.9099068634540411,0.0944130325618421,Cost
46,2008_avg_outpatient_insurance_cost,-0.0163609782300239,0.9837721356279532,0.0163609782300239,Cost
47,2008_avg_outpatient_beneficiary_cost,0.0279647927370889,1.028359478061554,0.0279647927370889,Cost
48,2008_total_outpatient_beneficiary_cost,0.0908706332933775,1.0951273230790657,0.0908706332933775,Cost
49,2008_total_medoop,0.0415065314434146,1.0423799700750307,0.0415065314434146,Cost
50,2008_total_raw_drug_cost,0.1785341417796635,1.1954636978349011,0.1785341417796635,Cost
51,2008_total_outpatient_insurance_cost_adj,0.1181677742217668,1.1254329141601027,0.1181677742217668,Cost
52,2008_claim_processing_burden,-0.0068780022163612,0.993145597104492,0.0068780022163612,Cost
53,2008_PART_A_INSUR_CVRAGE_TOT_MONS,-0.2230218477629074,0.8000973687659839,0.2230218477629074,Coverage
54,2008_PART_B_INSUR_CVRAGE_TOT_MONS,0.0853534106642513,1.089101898918022,0.0853534106642513,Coverage
55,2008_HMO_INSUR_CVRAGE_TOT_MONS,-0.0111590354149371,0.9889029956706592,0.0111590354149371,Coverage
56,2008_PART_D_INSUR_CVRAGE_TOT_MONS,0.0469707822922328,1.0480913858044631,0.0469707822922328,Coverage
57,2008_High_Payer_Cost,-0.0437663777168601,0.9571775493584576,0.0437663777168601,Risk
58,2008_High_OOP_Burden,-0.0229835915659075,0.9772785192518912,0.0229835915659075,Risk
59,BENE_COUNTY_CD_0,0.0847329376114028,1.088426350139517,0.0847329376114028,Geography
60,BENE_COUNTY_CD_1,-0.2059969085554809,0.8138355922066127,0.2059969085554809,Geography
61,BENE_COUNTY_CD_10,-0.2942759954224489,0.7450708269257297,0.2942759954224489,Geography
62,BENE_COUNTY_CD_100,0.0062293513887994,1.0062487941491245,0.0062293513887994,Geography
63,BENE_COUNTY_CD_11,-0.3252748908781308,0.7223287647597427,0.3252748908781308,Geography
64,BENE_COUNTY_CD_110,-0.2087032860562519,0.8116360236445297,0.2087032860562519,Geography
65,BENE_COUNTY_CD_111,-0.4696023808611547,0.6252508305596761,0.4696023808611547,Geography
66,BENE_COUNTY_CD_113,-0.0881366876932843,0.9156357120359172,0.0881366876932843,Geography
67,BENE_COUNTY_CD_117,-0.0068876026947294,0.9931360624774392,0.0068876026947294,Geography
68,BENE_COUNTY_CD_120,0.1217863034129769,1.1295127029785617,0.1217863034129769,Geography
69,BENE_COUNTY_CD_130,0.0510996911296074,1.0524278057704823,0.0510996911296074,Geography
70,BENE_COUNTY_CD_131,0.3072666498856971,1.3597034845160767,0.3072666498856971,Geography
71,BENE_COUNTY_CD_14,-0.0188556663017523,0.9813209897093648,0.0188556663017523,Geography
72,BENE_COUNTY_CD_140,0.1280978532840622,1.1366642235824609,0.1280978532840622,Geography
73,BENE_COUNTY_CD_141,-0.0754305700148307,0.9273441137869758,0.0754305700148307,Geography
74,BENE_COUNTY_CD_150,-0.0981383090450245,0.9065235146812916,0.0981383090450245,Geography
75,BENE_COUNTY_CD_160,0.0251531636678754,1.0254721735761203,0.0251531636678754,Geography
76,BENE_COUNTY_CD_161,-0.2163116764353499,0.8054842122981406,0.2163116764353499,Geography
77,BENE_COUNTY_CD_170,0.2561636213195726,1.291964103517915,0.2561636213195726,Geography
78,BENE_COUNTY_CD_180,-0.1208576464347656,0.8861600986639026,0.1208576464347656,Geography
79,BENE_COUNTY_CD_190,-0.1060283875533973,0.8993991159730986,0.1060283875533973,Geography
80,BENE_COUNTY_CD_191,-0.4610293382540045,0.6306341754210252,0.4610293382540045,Geography
81,BENE_COUNTY_CD_194,0.1192919360326606,1.126698794256643,0.1192919360326606,Geography
82,BENE_COUNTY_CD_20,-0.0686460160364341,0.9336571212377032,0.0686460160364341,Geography
83,BENE_COUNTY_CD_200,-0.0869118019139107,0.9167579483640246,0.0869118019139107,Geography
