index,feature,coefficient,odds_ratio,importance,family
0,BENE_ESRD_IND,0.2072725389567638,1.2303178356318585,0.2072725389567638,Disease
1,age,0.0232528247981312,1.0235252794100616,0.0232528247981312,Demographics
2,prior_ESRD,0.0211259208534002,1.0213506528864016,0.0211259208534002,Disease
3,2008_max_carrier_chronic_code_counts,0.0646359159786356,1.066770559556369,0.0646359159786356,Chronic Count
4,2008_max_ip_chronic_code_counts,0.0522338800471972,1.0536221348937478,0.0522338800471972,Chronic Count
5,2008_max_op_chronic_code_counts,0.0425156061650159,1.043432340223898,0.0425156061650159,Chronic Count
6,2008_has_Additional endocrine/metabolic burden,0.0796395153490302,1.0828966296921458,0.0796395153490302,Disease
7,2008_has_COPD,0.0630814419561059,1.065113580632545,0.0630814419561059,Disease
8,2008_has_Administrative_screening_aftercare,0.0381282019733264,1.0388644088088348,0.0381282019733264,Disease
9,2008_has_Cancer,0.0162110571346056,1.0163431692482037,0.0162110571346056,Disease
10,2008_has_Injury/Frailty Burden,0.0527939564295803,1.0542124090513352,0.0527939564295803,Disease
11,2008_has_Additional cardiovascular burden,0.3830995657395507,1.4668240682212226,0.3830995657395507,Disease
12,2008_has_Additional mental health burden,0.0341552670787059,1.0347452561291377,0.0341552670787059,Disease
13,2008_has_Additional Musculoskeletal Burden,0.1288329850866541,1.1375001288146998,0.1288329850866541,Disease
14,2008_has_Infectious disease burden,0.0502581298164836,1.0515424958178432,0.0502581298164836,Disease
15,2008_has_Stroke/TIA,0.0060864235192496,1.0061049834302642,0.0060864235192496,Disease
16,2008_has_Additional neurologic burden,0.0109761390875832,1.0110365979011913,0.0109761390875832,Disease
17,2008_has_Diabetes,0.0474216177814317,1.0485640091267856,0.0474216177814317,Disease
18,2008_has_Additional renal burden,0.0114147330057398,1.011480129662121,0.0114147330057398,Disease
19,2008_has_Genitourinary (non-renal) burden,-0.0390294828339306,0.9617223544279172,0.0390294828339306,Disease
20,2008_has_Sensory Burden,-0.0080184678123397,0.9920135943469928,0.0080184678123397,Disease
21,2008_has_Additional Hematologic burden,0.0245336162339399,1.0248370416898898,0.0245336162339399,Disease
22,2008_has_Rheumatoid Arthritis/Osteoarthritis,0.0279479471079197,1.0283421548450449,0.0279479471079197,Disease
23,2008_has_Depression,0.0354430525309601,1.0360786443914998,0.0354430525309601,Disease
24,2008_has_Heart Failure,0.0439285792770141,1.0449077241582725,0.0439285792770141,Disease
25,2008_has_CKD,0.0363908184591829,1.0370610699107907,0.0363908184591829,Disease
26,2008_has_Additional GI/Hepatic burden,0.0538311165210295,1.0553063632946915,0.0538311165210295,Disease
27,2008_num_carrier_claims,0.3232177571193155,1.3815661640203636,0.3232177571193155,Utilization
28,2008_avg_carrier_claim_duration,0.0080760462620815,1.00810874549125,0.0080760462620815,Utilization
29,2008_num_ip_claims,-0.0971334148326706,0.9074349327772456,0.0971334148326706,Utilization
30,2008_avg_ip_claim_duration,0.0370835044541828,1.037779676445486,0.0370835044541828,Utilization
31,2008_num_op_claims,0.0589983947372089,1.0607735379185022,0.0589983947372089,Utilization
32,2008_avg_op_claim_duration,0.0591901099185112,1.060976923805103,0.0591901099185112,Utilization
33,2008_num_pde_claims,0.4279177200449396,1.534059853398854,0.4279177200449396,Utilization
34,2008_total_days_medsupplied,-0.330283664872439,0.7187198289444263,0.330283664872439,Utilization
35,2008_avg_days_supplied_per_pdeclaim,-0.022755584419732,0.9775013711430308,0.022755584419732,Utilization
36,2008_avg_carrier_rejected_amt,-0.0197852799495948,0.980409164212795,0.0197852799495948,Cost
37,2008_avg_carrier_reimb_allowed_diff,0.0006887808222866,1.0006890180862684,0.0006887808222866,Cost
38,2008_avg_carrier_insurance_cost,0.0250026818489283,1.0253178702683732,0.0250026818489283,Cost
39,2008_total_carrier_insurance_cost,0.1680067382866221,1.1829445816406046,0.1680067382866221,Cost
40,2008_avg_carrier_beneficiary_cost,0.0492039587377233,1.0504345742027272,0.0492039587377233,Cost
41,2008_total_carrier_beneficiary_cost,-0.0688935344296065,0.9334260525253382,0.0688935344296065,Cost
42,2008_avg_inpatient_beneficiary_cost,0.0105924769454655,1.0106487758353606,0.0105924769454655,Cost
43,2008_total_inpatient_beneficiary_cost,0.0045345112902519,1.0045448077438184,0.0045345112902519,Cost
44,2008_avg_inpatient_insurance_cost,0.0130833208301779,1.0131692819486962,0.0130833208301779,Cost
45,2008_total_inpatient_insurance_cost_adj,-0.0202746313529289,0.9799295169800406,0.0202746313529289,Cost
46,2008_avg_outpatient_insurance_cost,-0.0697582360644393,0.9326192663566536,0.0697582360644393,Cost
47,2008_avg_outpatient_beneficiary_cost,0.028213278487239,1.0286150424886285,0.028213278487239,Cost
48,2008_total_outpatient_beneficiary_cost,0.0292587532706547,1.02969099592048,0.0292587532706547,Cost
49,2008_total_medoop,-0.0607573662629382,0.9410515429304948,0.0607573662629382,Cost
50,2008_total_raw_drug_cost,0.2428319971160116,1.2748544269057032,0.2428319971160116,Cost
51,2008_total_outpatient_insurance_cost_adj,0.1604874235177234,1.1740830072136332,0.1604874235177234,Cost
52,2008_claim_processing_burden,-0.0022858131915051,0.9977167972900648,0.0022858131915051,Cost
53,2008_PART_A_INSUR_CVRAGE_TOT_MONS,-0.2977998767335617,0.7424499063818905,0.2977998767335617,Coverage
54,2008_PART_B_INSUR_CVRAGE_TOT_MONS,0.1617662489843296,1.1755854149170315,0.1617662489843296,Coverage
55,2008_HMO_INSUR_CVRAGE_TOT_MONS,-0.012717282103982,0.9873632408223768,0.012717282103982,Coverage
56,2008_PART_D_INSUR_CVRAGE_TOT_MONS,-0.0425772646177607,0.9583164187085992,0.0425772646177607,Coverage
57,2008_High_Payer_Cost,-0.012745821087655,0.9873350628810544,0.012745821087655,Risk
58,2008_High_OOP_Burden,0.0220998257945226,1.0223458358620148,0.0220998257945226,Risk
59,BENE_COUNTY_CD_0,0.263176379955743,1.3010561789463193,0.263176379955743,Geography
60,BENE_COUNTY_CD_1,-0.2154999753575783,0.8061382901233168,0.2154999753575783,Geography
61,BENE_COUNTY_CD_10,0.0277950745487013,1.0281849615636571,0.0277950745487013,Geography
62,BENE_COUNTY_CD_100,0.2445774960994706,1.2770816272344,0.2445774960994706,Geography
63,BENE_COUNTY_CD_11,-0.4768484130208674,0.6207366177506864,0.4768484130208674,Geography
64,BENE_COUNTY_CD_110,0.0249101582892188,1.0252230085977196,0.0249101582892188,Geography
65,BENE_COUNTY_CD_111,-0.9997815959753942,0.3679597962965859,0.9997815959753942,Geography
66,BENE_COUNTY_CD_113,-0.2399395464835352,0.7866754169243491,0.2399395464835352,Geography
67,BENE_COUNTY_CD_117,-0.2892637938513733,0.7488146466468187,0.2892637938513733,Geography
68,BENE_COUNTY_CD_120,0.1693638240641573,1.184551028704646,0.1693638240641573,Geography
69,BENE_COUNTY_CD_130,0.1337232979095566,1.143076484228607,0.1337232979095566,Geography
70,BENE_COUNTY_CD_131,0.1377126203345568,1.147645692844033,0.1377126203345568,Geography
71,BENE_COUNTY_CD_14,-0.0798224184380618,0.9232802893854738,0.0798224184380618,Geography
72,BENE_COUNTY_CD_140,0.1131060951375376,1.119750726754115,0.1131060951375376,Geography
73,BENE_COUNTY_CD_141,0.1504496982739247,1.1623568350774565,0.1504496982739247,Geography
74,BENE_COUNTY_CD_150,0.1684115581344925,1.1834235580292165,0.1684115581344925,Geography
75,BENE_COUNTY_CD_160,0.1736212006353651,1.1896048588972872,0.1736212006353651,Geography
76,BENE_COUNTY_CD_161,0.7581047478723241,2.1342274858387653,0.7581047478723241,Geography
77,BENE_COUNTY_CD_170,0.2938762953986731,1.3416179290902226,0.2938762953986731,Geography
78,BENE_COUNTY_CD_180,-0.0025459068916082,0.9974573311808156,0.0025459068916082,Geography
79,BENE_COUNTY_CD_190,0.2369034375314307,1.267318736441002,0.2369034375314307,Geography
80,BENE_COUNTY_CD_191,0.0536515277663255,1.0551168591559916,0.0536515277663255,Geography
81,BENE_COUNTY_CD_194,0.190262497805947,1.2095670646888554,0.190262497805947,Geography
