index,feature,importance,family
39,2008_total_carrier_insurance_cost,0.063693014886883,Cost
27,2008_num_carrier_claims,0.0562074428911066,Utilization
41,2008_total_carrier_beneficiary_cost,0.0530974880336513,Cost
37,2008_avg_carrier_reimb_allowed_diff,0.0343829582856432,Cost
38,2008_avg_carrier_insurance_cost,0.0340976520246085,Cost
40,2008_avg_carrier_beneficiary_cost,0.0327323835993468,Cost
51,2008_total_outpatient_insurance_cost_adj,0.0300588728030695,Cost
46,2008_avg_outpatient_insurance_cost,0.0278661155335219,Cost
31,2008_num_op_claims,0.0271519540424891,Utilization
48,2008_total_outpatient_beneficiary_cost,0.0259281456716513,Cost
3,2008_max_carrier_chronic_code_counts,0.0254422561019875,Chronic Count
50,2008_total_raw_drug_cost,0.0247459294414374,Cost
47,2008_avg_outpatient_beneficiary_cost,0.0226697735852693,Cost
33,2008_num_pde_claims,0.0220313751802472,Utilization
17,2008_has_Diabetes,0.021984235870421,Disease
34,2008_total_days_medsupplied,0.0210690030370169,Utilization
1,age,0.0202740303161171,Demographics
5,2008_max_op_chronic_code_counts,0.019525959987523,Chronic Count
49,2008_total_medoop,0.0185881673593929,Cost
26,2008_has_Additional GI/Hepatic burden,0.0180493463705665,Disease
35,2008_avg_days_supplied_per_pdeclaim,0.017463573917371,Utilization
21,2008_has_Additional Hematologic burden,0.0168985317470516,Disease
0,BENE_ESRD_IND,0.0158590358872769,Disease
11,2008_has_Additional cardiovascular burden,0.0149309725708804,Disease
18,2008_has_Additional renal burden,0.0148489634786575,Disease
13,2008_has_Additional Musculoskeletal Burden,0.0144179050761744,Disease
7,2008_has_COPD,0.0128347427622548,Disease
14,2008_has_Infectious disease burden,0.0128210410589673,Disease
16,2008_has_Additional neurologic burden,0.0123887703419098,Disease
52,2008_claim_processing_burden,0.0118890681942461,Cost
36,2008_avg_carrier_rejected_amt,0.0117712406443655,Cost
10,2008_has_Injury/Frailty Burden,0.0116397749419376,Disease
58,2008_High_OOP_Burden,0.0110219181791093,Risk
6,2008_has_Additional endocrine/metabolic burden,0.0107208650586602,Disease
25,2008_has_CKD,0.0104902065474612,Disease
24,2008_has_Heart Failure,0.0101313429802845,Disease
9,2008_has_Cancer,0.0099243044906282,Disease
8,2008_has_Administrative_screening_aftercare,0.0093254875314077,Disease
12,2008_has_Additional mental health burden,0.0092226572598326,Disease
57,2008_High_Payer_Cost,0.0090588093846582,Risk
32,2008_avg_op_claim_duration,0.0089251145085323,Utilization
23,2008_has_Depression,0.0074939031486369,Disease
30,2008_avg_ip_claim_duration,0.0068813713640571,Utilization
22,2008_has_Rheumatoid Arthritis/Osteoarthritis,0.0066734582894227,Disease
15,2008_has_Stroke/TIA,0.006333633725614,Disease
44,2008_avg_inpatient_insurance_cost,0.0060862170935376,Cost
45,2008_total_inpatient_insurance_cost_adj,0.0054501001288405,Cost
