index,feature,importance,family
0,BENE_ESRD_IND,0.4305411,Disease
1,age,0.013345168,Demographics
319,STATE_CA,0.01047981,Geography
95,BENE_COUNTY_CD_480,0.009634999,Geography
134,BENE_COUNTY_CD_630,0.009623197,Geography
352,STATE_Others,0.00913372,Geography
351,STATE_OR,0.009087241,Geography
96,BENE_COUNTY_CD_490,0.008409916,Geography
339,STATE_MS,0.007868897,Geography
320,STATE_CO,0.0077908435,Geography
313,RACE_Others,0.0077696433,Demographics
329,STATE_IL,0.0075318916,Geography
182,BENE_COUNTY_CD_770,0.007216169,Geography
253,BENE_COUNTY_CD_910,0.007148579,Geography
358,STATE_TX,0.0070945635,Geography
346,STATE_NM,0.006515345,Geography
110,BENE_COUNTY_CD_550,0.006449791,Geography
328,STATE_ID,0.006298401,Geography
281,BENE_COUNTY_CD_970,0.0062149474,Geography
318,STATE_AZ,0.0061413394,Geography
259,BENE_COUNTY_CD_930,0.0060599847,Geography
49,BENE_COUNTY_CD_290,0.0059369304,Geography
90,BENE_COUNTY_CD_460,0.0058755195,Geography
334,STATE_MD,0.005687499,Geography
327,STATE_IA,0.005463046,Geography
343,STATE_NE,0.005402854,Geography
224,BENE_COUNTY_CD_860,0.0053266226,Geography
68,BENE_COUNTY_CD_350,0.005267576,Geography
101,BENE_COUNTY_CD_520,0.0052499697,Geography
366,STATE_WY,0.005241544,Geography
355,STATE_SC,0.005236684,Geography
147,BENE_COUNTY_CD_670,0.005205108,Geography
326,STATE_HI,0.00518911,Geography
52,BENE_COUNTY_CD_30,0.0051190257,Geography
79,BENE_COUNTY_CD_400,0.005108447,Geography
357,STATE_TN,0.0050920392,Geography
316,STATE_AL,0.0050614453,Geography
144,BENE_COUNTY_CD_660,0.0050474056,Geography
363,STATE_WA,0.004996374,Geography
332,STATE_KY,0.004886263,Geography
314,RACE_White,0.004831314,Demographics
262,BENE_COUNTY_CD_940,0.0048227846,Geography
78,BENE_COUNTY_CD_40,0.004772206,Geography
72,BENE_COUNTY_CD_370,0.0047365134,Geography
21,BENE_COUNTY_CD_180,0.0047347434,Geography
330,STATE_IN,0.004648476,Geography
359,STATE_UT,0.0046135313,Geography
17,BENE_COUNTY_CD_150,0.00457777,Geography
322,STATE_DC,0.004555126,Geography
199,BENE_COUNTY_CD_800,0.004524868,Geography
354,STATE_RI,0.0045107706,Geography
104,BENE_COUNTY_CD_530,0.0044834097,Geography
333,STATE_LA,0.004464097,Geography
38,BENE_COUNTY_CD_240,0.0044458783,Geography
155,BENE_COUNTY_CD_700,0.0044372063,Geography
122,BENE_COUNTY_CD_590,0.004402676,Geography
323,STATE_DE,0.0043582125,Geography
364,STATE_WI,0.0043319273,Geography
118,BENE_COUNTY_CD_570,0.0043001957,Geography
227,BENE_COUNTY_CD_870,0.0042543206,Geography
247,BENE_COUNTY_CD_90,0.0041606077,Geography
321,STATE_CT,0.0041591018,Geography
331,STATE_KS,0.00414156,Geography
119,BENE_COUNTY_CD_580,0.0041394667,Geography
22,BENE_COUNTY_CD_190,0.004130279,Geography
154,BENE_COUNTY_CD_70,0.0040754904,Geography
310,SEX_Male,0.0040519047,Demographics
113,BENE_COUNTY_CD_560,0.00402349,Geography
336,STATE_MI,0.0040157866,Geography
53,BENE_COUNTY_CD_300,0.0040149624,Geography
159,BENE_COUNTY_CD_710,0.0039968006,Geography
6,BENE_COUNTY_CD_11,0.003959684,Geography
37,BENE_COUNTY_CD_230,0.0039118514,Geography
345,STATE_NJ,0.0038952224,Geography
356,STATE_SD,0.0038797392,Geography
317,STATE_AR,0.0038238897,Geography
28,BENE_COUNTY_CD_210,0.0037773945,Geography
41,BENE_COUNTY_CD_250,0.0037654687,Geography
46,BENE_COUNTY_CD_280,0.0037492786,Geography
325,STATE_GA,0.003745024,Geography
348,STATE_NY,0.0037326703,Geography
324,STATE_FL,0.0037265227,Geography
24,BENE_COUNTY_CD_194,0.0037206227,Geography
349,STATE_OH,0.0036800613,Geography
180,BENE_COUNTY_CD_760,0.0036723302,Geography
93,BENE_COUNTY_CD_470,0.0036007597,Geography
362,STATE_VT,0.0035733143,Geography
44,BENE_COUNTY_CD_270,0.0035692037,Geography
291,BENE_COUNTY_CD_980,0.0035523758,Geography
338,STATE_MO,0.0035425785,Geography
361,STATE_VA,0.0035348271,Geography
69,BENE_COUNTY_CD_360,0.0035323603,Geography
20,BENE_COUNTY_CD_170,0.003521612,Geography
12,BENE_COUNTY_CD_130,0.0034678825,Geography
137,BENE_COUNTY_CD_640,0.003456425,Geography
32,BENE_COUNTY_CD_220,0.0033117435,Geography
311,RACE_Black,0.0032972759,Demographics
131,BENE_COUNTY_CD_620,0.0032755125,Geography
360,STATE_Unknown,0.003259873,Geography
97,BENE_COUNTY_CD_50,0.003091656,Geography
209,BENE_COUNTY_CD_830,0.0029804707,Geography
15,BENE_COUNTY_CD_140,0.0029782704,Geography
254,BENE_COUNTY_CD_911,0.002944984,Geography
125,BENE_COUNTY_CD_60,0.0028674668,Geography
89,BENE_COUNTY_CD_451,0.0028288083,Geography
75,BENE_COUNTY_CD_390,0.002816912,Geography
340,STATE_MT,0.0028018723,Geography
2,BENE_COUNTY_CD_0,0.0027571514,Geography
73,BENE_COUNTY_CD_380,0.0027516459,Geography
216,BENE_COUNTY_CD_840,0.002727674,Geography
43,BENE_COUNTY_CD_260,0.0027039247,Geography
344,STATE_NH,0.0026998292,Geography
206,BENE_COUNTY_CD_820,0.0026804905,Geography
309,SEX_Female,0.0026620347,Demographics
11,BENE_COUNTY_CD_120,0.002599907,Geography
297,BENE_COUNTY_CD_986,0.0025699602,Geography
185,BENE_COUNTY_CD_780,0.0025513545,Geography
258,BENE_COUNTY_CD_921,0.0022447358,Geography
312,RACE_Hispanic,0.0022376317,Demographics
4,BENE_COUNTY_CD_10,0.0022134266,Geography
7,BENE_COUNTY_CD_110,0.002104853,Geography
283,BENE_COUNTY_CD_972,0.0020259214,Geography
61,BENE_COUNTY_CD_330,0.0018665898,Geography
341,STATE_NC,0.0017629283,Geography
120,BENE_COUNTY_CD_581,0.0016652179,Geography
335,STATE_ME,0.0015100647,Geography
198,BENE_COUNTY_CD_80,0.0013863448,Geography
18,BENE_COUNTY_CD_160,0.0012405174,Geography
25,BENE_COUNTY_CD_20,0.0010533782,Geography
308,BENE_COUNTY_CD_999,0.00067407446,Geography
251,BENE_COUNTY_CD_903,0.0,Geography
243,BENE_COUNTY_CD_888,0.0,Geography
244,BENE_COUNTY_CD_890,0.0,Geography
245,BENE_COUNTY_CD_891,0.0,Geography
246,BENE_COUNTY_CD_892,0.0,Geography
5,BENE_COUNTY_CD_100,0.0,Geography
248,BENE_COUNTY_CD_900,0.0,Geography
249,BENE_COUNTY_CD_901,0.0,Geography
250,BENE_COUNTY_CD_902,0.0,Geography
252,BENE_COUNTY_CD_905,0.0,Geography
241,BENE_COUNTY_CD_885,0.0,Geography
342,STATE_ND,0.0,Geography
337,STATE_MN,0.0,Geography
8,BENE_COUNTY_CD_111,0.0,Geography
9,BENE_COUNTY_CD_113,0.0,Geography
10,BENE_COUNTY_CD_117,0.0,Geography
255,BENE_COUNTY_CD_912,0.0,Geography
256,BENE_COUNTY_CD_913,0.0,Geography
