index,feature,importance,family
0,BENE_ESRD_IND,0.4001188,Disease
1,age,0.0140537135,Demographics
353,STATE_Others,0.009780204,Geography
135,BENE_COUNTY_CD_630,0.009640682,Geography
320,STATE_CA,0.009131515,Geography
352,STATE_OR,0.0084974915,Geography
260,BENE_COUNTY_CD_930,0.0076394626,Geography
20,BENE_COUNTY_CD_170,0.0076046768,Geography
359,STATE_TX,0.007384411,Geography
321,STATE_CO,0.007036425,Geography
319,STATE_AZ,0.0067910114,Geography
330,STATE_IL,0.0067759515,Geography
351,STATE_OK,0.006633391,Geography
150,BENE_COUNTY_CD_680,0.0066318405,Geography
347,STATE_NM,0.0063933213,Geography
102,BENE_COUNTY_CD_520,0.006374719,Geography
335,STATE_MD,0.0063325865,Geography
337,STATE_MI,0.006179234,Geography
159,BENE_COUNTY_CD_710,0.0061721466,Geography
367,STATE_WY,0.005992711,Geography
144,BENE_COUNTY_CD_660,0.0059675565,Geography
114,BENE_COUNTY_CD_560,0.005900454,Geography
314,RACE_Others,0.00583374,Demographics
226,BENE_COUNTY_CD_870,0.005728002,Geography
325,STATE_FL,0.0056878426,Geography
123,BENE_COUNTY_CD_590,0.0056787715,Geography
365,STATE_WI,0.0055488567,Geography
328,STATE_IA,0.00554172,Geography
258,BENE_COUNTY_CD_920,0.0055206986,Geography
355,STATE_RI,0.005303788,Geography
357,STATE_SD,0.0052040997,Geography
16,BENE_COUNTY_CD_141,0.0051957667,Geography
155,BENE_COUNTY_CD_700,0.0051811803,Geography
129,BENE_COUNTY_CD_610,0.0051795486,Geography
341,STATE_MT,0.005169768,Geography
254,BENE_COUNTY_CD_910,0.0051510013,Geography
350,STATE_OH,0.005108387,Geography
97,BENE_COUNTY_CD_490,0.005043824,Geography
62,BENE_COUNTY_CD_331,0.005024434,Geography
346,STATE_NJ,0.0050226166,Geography
222,BENE_COUNTY_CD_860,0.004950245,Geography
349,STATE_NY,0.0049470398,Geography
197,BENE_COUNTY_CD_800,0.0049329116,Geography
317,STATE_AL,0.0048495433,Geography
364,STATE_WA,0.004780667,Geography
344,STATE_NE,0.004757895,Geography
339,STATE_MO,0.0047029215,Geography
282,BENE_COUNTY_CD_970,0.0046655405,Geography
318,STATE_AR,0.004623798,Geography
2,BENE_COUNTY_CD_0,0.0045675724,Geography
12,BENE_COUNTY_CD_130,0.0044261776,Geography
356,STATE_SC,0.004396235,Geography
198,BENE_COUNTY_CD_801,0.0043455944,Geography
333,STATE_KY,0.00433865,Geography
332,STATE_KS,0.0043380237,Geography
366,STATE_WV,0.004336569,Geography
188,BENE_COUNTY_CD_790,0.004323354,Geography
340,STATE_MS,0.004267228,Geography
358,STATE_TN,0.0042649484,Geography
345,STATE_NH,0.0042524203,Geography
154,BENE_COUNTY_CD_70,0.004236402,Geography
331,STATE_IN,0.0042215143,Geography
362,STATE_VA,0.0042172596,Geography
68,BENE_COUNTY_CD_350,0.004213479,Geography
324,STATE_DE,0.004200036,Geography
297,BENE_COUNTY_CD_985,0.004175199,Geography
327,STATE_HI,0.004141252,Geography
136,BENE_COUNTY_CD_631,0.0041363197,Geography
360,STATE_UT,0.0041273437,Geography
343,STATE_ND,0.0040806034,Geography
181,BENE_COUNTY_CD_770,0.004006783,Geography
15,BENE_COUNTY_CD_140,0.0040067816,Geography
24,BENE_COUNTY_CD_194,0.0039249505,Geography
179,BENE_COUNTY_CD_760,0.0039243638,Geography
46,BENE_COUNTY_CD_280,0.003838141,Geography
32,BENE_COUNTY_CD_220,0.003830117,Geography
323,STATE_DC,0.0038230652,Geography
90,BENE_COUNTY_CD_451,0.0038184833,Geography
310,SEX_Female,0.0038113566,Demographics
204,BENE_COUNTY_CD_820,0.00376995,Geography
342,STATE_NC,0.0037069295,Geography
41,BENE_COUNTY_CD_250,0.0036532632,Geography
363,STATE_VT,0.0036404706,Geography
6,BENE_COUNTY_CD_11,0.0036363637,Geography
171,BENE_COUNTY_CD_750,0.0036030763,Geography
38,BENE_COUNTY_CD_240,0.00356877,Geography
348,STATE_NV,0.0035394055,Geography
302,BENE_COUNTY_CD_990,0.0035204927,Geography
278,BENE_COUNTY_CD_960,0.0035048388,Geography
49,BENE_COUNTY_CD_290,0.0034674248,Geography
69,BENE_COUNTY_CD_360,0.0034249176,Geography
89,BENE_COUNTY_CD_450,0.0034186598,Geography
25,BENE_COUNTY_CD_20,0.0034084653,Geography
100,BENE_COUNTY_CD_510,0.0033990354,Geography
22,BENE_COUNTY_CD_190,0.0033841766,Geography
105,BENE_COUNTY_CD_530,0.0033748355,Geography
336,STATE_ME,0.0033344142,Geography
55,BENE_COUNTY_CD_310,0.0033245622,Geography
64,BENE_COUNTY_CD_340,0.0032520262,Geography
58,BENE_COUNTY_CD_320,0.0032318346,Geography
334,STATE_LA,0.0031655298,Geography
354,STATE_PA,0.003116054,Geography
75,BENE_COUNTY_CD_390,0.0030913833,Geography
276,BENE_COUNTY_CD_953,0.003078457,Geography
26,BENE_COUNTY_CD_200,0.003066601,Geography
214,BENE_COUNTY_CD_840,0.003059368,Geography
61,BENE_COUNTY_CD_330,0.0030548763,Geography
313,RACE_Hispanic,0.0029239382,Demographics
292,BENE_COUNTY_CD_980,0.0029077248,Geography
94,BENE_COUNTY_CD_470,0.0028686186,Geography
247,BENE_COUNTY_CD_90,0.0028476652,Geography
85,BENE_COUNTY_CD_430,0.002829005,Geography
311,SEX_Male,0.0028001468,Demographics
361,STATE_Unknown,0.0027835337,Geography
132,BENE_COUNTY_CD_620,0.0027825013,Geography
196,BENE_COUNTY_CD_80,0.0027611551,Geography
73,BENE_COUNTY_CD_380,0.0027369345,Geography
96,BENE_COUNTY_CD_480,0.00270564,Geography
44,BENE_COUNTY_CD_270,0.0026957323,Geography
338,STATE_MN,0.0026472614,Geography
53,BENE_COUNTY_CD_300,0.002643449,Geography
4,BENE_COUNTY_CD_10,0.0024920264,Geography
315,RACE_White,0.0024634656,Demographics
87,BENE_COUNTY_CD_440,0.0024434885,Geography
309,BENE_COUNTY_CD_999,0.0023661891,Geography
37,BENE_COUNTY_CD_230,0.0023598257,Geography
139,BENE_COUNTY_CD_650,0.002307684,Geography
107,BENE_COUNTY_CD_540,0.0022899539,Geography
312,RACE_Black,0.002277718,Demographics
329,STATE_ID,0.002254243,Geography
119,BENE_COUNTY_CD_570,0.0021173875,Geography
43,BENE_COUNTY_CD_260,0.0020530408,Geography
83,BENE_COUNTY_CD_420,0.0019951307,Geography
17,BENE_COUNTY_CD_150,0.0019266923,Geography
21,BENE_COUNTY_CD_180,0.0018583717,Geography
98,BENE_COUNTY_CD_50,0.0018504612,Geography
5,BENE_COUNTY_CD_100,0.001842289,Geography
126,BENE_COUNTY_CD_60,0.0017546393,Geography
11,BENE_COUNTY_CD_120,0.0016964942,Geography
18,BENE_COUNTY_CD_160,0.0016883804,Geography
294,BENE_COUNTY_CD_982,0.0012721256,Geography
111,BENE_COUNTY_CD_550,0.0012167287,Geography
99,BENE_COUNTY_CD_500,0.0011993215,Geography
7,BENE_COUNTY_CD_110,0.00088448357,Geography
52,BENE_COUNTY_CD_30,0.00056120916,Geography
164,BENE_COUNTY_CD_730,0.00014214442,Geography
245,BENE_COUNTY_CD_891,0.0,Geography
229,BENE_COUNTY_CD_873,0.0,Geography
253,BENE_COUNTY_CD_905,0.0,Geography
231,BENE_COUNTY_CD_875,0.0,Geography
230,BENE_COUNTY_CD_874,0.0,Geography
255,BENE_COUNTY_CD_911,0.0,Geography
256,BENE_COUNTY_CD_912,0.0,Geography
257,BENE_COUNTY_CD_913,0.0,Geography
244,BENE_COUNTY_CD_890,0.0,Geography
259,BENE_COUNTY_CD_921,0.0,Geography
13,BENE_COUNTY_CD_131,0.0,Geography
261,BENE_COUNTY_CD_931,0.0,Geography
262,BENE_COUNTY_CD_932,0.0,Geography
228,BENE_COUNTY_CD_872,0.0,Geography
232,BENE_COUNTY_CD_876,0.0,Geography
252,BENE_COUNTY_CD_904,0.0,Geography
233,BENE_COUNTY_CD_878,0.0,Geography
250,BENE_COUNTY_CD_902,0.0,Geography
243,BENE_COUNTY_CD_888,0.0,Geography
246,BENE_COUNTY_CD_892,0.0,Geography
242,BENE_COUNTY_CD_886,0.0,Geography
248,BENE_COUNTY_CD_900,0.0,Geography
249,BENE_COUNTY_CD_901,0.0,Geography
241,BENE_COUNTY_CD_885,0.0,Geography
240,BENE_COUNTY_CD_884,0.0,Geography
234,BENE_COUNTY_CD_879,0.0,Geography
239,BENE_COUNTY_CD_883,0.0,Geography
238,BENE_COUNTY_CD_882,0.0,Geography
237,BENE_COUNTY_CD_881,0.0,Geography
236,BENE_COUNTY_CD_880,0.0,Geography
235,BENE_COUNTY_CD_88,0.0,Geography
251,BENE_COUNTY_CD_903,0.0,Geography
263,BENE_COUNTY_CD_940,0.0,Geography
19,BENE_COUNTY_CD_161,0.0,Geography
264,BENE_COUNTY_CD_941,0.0,Geography
305,BENE_COUNTY_CD_993,0.0,Geography
293,BENE_COUNTY_CD_981,0.0,Geography
295,BENE_COUNTY_CD_983,0.0,Geography
296,BENE_COUNTY_CD_984,0.0,Geography
298,BENE_COUNTY_CD_986,0.0,Geography
299,BENE_COUNTY_CD_987,0.0,Geography
300,BENE_COUNTY_CD_988,0.0,Geography
301,BENE_COUNTY_CD_989,0.0,Geography
303,BENE_COUNTY_CD_991,0.0,Geography
304,BENE_COUNTY_CD_992,0.0,Geography
306,BENE_COUNTY_CD_994,0.0,Geography
265,BENE_COUNTY_CD_942,0.0,Geography
307,BENE_COUNTY_CD_995,0.0,Geography
308,BENE_COUNTY_CD_996,0.0,Geography
316,STATE_AK,0.0,Geography
10,BENE_COUNTY_CD_117,0.0,Geography
322,STATE_CT,0.0,Geography
326,STATE_GA,0.0,Geography
9,BENE_COUNTY_CD_113,0.0,Geography
8,BENE_COUNTY_CD_111,0.0,Geography
3,BENE_COUNTY_CD_1,0.0,Geography
291,BENE_COUNTY_CD_979,0.0,Geography
290,BENE_COUNTY_CD_978,0.0,Geography
289,BENE_COUNTY_CD_977,0.0,Geography
288,BENE_COUNTY_CD_976,0.0,Geography
266,BENE_COUNTY_CD_943,0.0,Geography
267,BENE_COUNTY_CD_944,0.0,Geography
268,BENE_COUNTY_CD_945,0.0,Geography
269,BENE_COUNTY_CD_946,0.0,Geography
270,BENE_COUNTY_CD_947,0.0,Geography
271,BENE_COUNTY_CD_948,0.0,Geography
272,BENE_COUNTY_CD_949,0.0,Geography
273,BENE_COUNTY_CD_950,0.0,Geography
274,BENE_COUNTY_CD_951,0.0,Geography
275,BENE_COUNTY_CD_952,0.0,Geography
277,BENE_COUNTY_CD_954,0.0,Geography
279,BENE_COUNTY_CD_961,0.0,Geography
280,BENE_COUNTY_CD_962,0.0,Geography
281,BENE_COUNTY_CD_963,0.0,Geography
283,BENE_COUNTY_CD_971,0.0,Geography
284,BENE_COUNTY_CD_972,0.0,Geography
285,BENE_COUNTY_CD_973,0.0,Geography
286,BENE_COUNTY_CD_974,0.0,Geography
287,BENE_COUNTY_CD_975,0.0,Geography
227,BENE_COUNTY_CD_871,0.0,Geography
194,BENE_COUNTY_CD_796,0.0,Geography
225,BENE_COUNTY_CD_867,0.0,Geography
92,BENE_COUNTY_CD_461,0.0,Geography
106,BENE_COUNTY_CD_531,0.0,Geography
104,BENE_COUNTY_CD_522,0.0,Geography
103,BENE_COUNTY_CD_521,0.0,Geography
101,BENE_COUNTY_CD_511,0.0,Geography
95,BENE_COUNTY_CD_471,0.0,Geography
